municipality,"Heritage community resilience (Integration of ""new"" communities)",Shared values (political compass approach),Alternative Food Networks ,Self provisioning (vs. Conventional Food Provisioning),Bottom-Up (vs. Top-Down),Vehicle transport ,Housing availability,Public Services,Agency,Collective (vs. Private) ,Unemployment rate,Education,Income diversification through (other commercial activities),Attraction of new businesses ,Subsidies ,Zoning Plans ,Land Prices ,Land Availability,Nitrogen deposition,Biodiversity ,Transformative farm practices,Extensification of farming practices,Land use change flexibility,Positive (vs negative) resource use ,Energy service,Water service,Medical service,Police service
Aa en Hunze,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.252293578,0.191572025,0.234042553,#DIV/0!,#DIV/0!,0.282051282,0.729166667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.097560976,0.697485347,0.163017032,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.666666667,#DIV/0!,0.188172043,#DIV/0!
Altena,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.19559633,0,0.210638298,#DIV/0!,#DIV/0!,0.655677656,0.1875,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.554878049,0.096967224,0.253041363,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.466666667,#DIV/0!,0.172043011,#DIV/0!
Berkelland,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.672547636,0.206604386,0.153191489,#DIV/0!,#DIV/0!,0.611721612,0.53125,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.548780488,0.265605875,0.783454988,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.333333333,#DIV/0!,0.553763441,#DIV/0!
Borger-Odoorn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.170825688,0.167488606,0.295744681,#DIV/0!,#DIV/0!,0.351648352,0.614583333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.097560976,0.697485347,0.136253041,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.666666667,#DIV/0!,0.182795699,#DIV/0!
Bronckhorst,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.762468724,0.246386981,0.089361702,#DIV/0!,#DIV/0!,0.36996337,0.364583333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.548780488,0.422614274,0.530413625,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.333333333,#DIV/0!,0,#DIV/0!
Dalfsen,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.35412844,0.081361909,0.093617021,#DIV/0!,#DIV/0!,0.179487179,0.697916667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.384146341,0.279279279,0.783454988,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.866666667,#DIV/0!,0.327956989,#DIV/0!
De Fryske Marren,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.344954128,0.24472617,0.24893617,#DIV/0!,#DIV/0!,0.142857143,0.96875,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.164634146,0.333564734,0.549878345,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,0.424731183,#DIV/0!
De Wolden,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.057761468,0.133418299,0.163829787,#DIV/0!,#DIV/0!,0.652014652,0.479166667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.097560976,0.577766782,0.583941606,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.666666667,#DIV/0!,0.016129032,#DIV/0!
Dinkelland,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.451209341,0.059641712,0.174468085,#DIV/0!,#DIV/0!,0.611721612,0.552083333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.384146341,0.37000123,0.771289538,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.866666667,#DIV/0!,0.591397849,#DIV/0!
Goeree-Overflakkee,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.411238532,0.151774481,0.731914894,#DIV/0!,#DIV/0!,0.340659341,0.34375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.942073171,0.212038304,0.04622871,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.866666667,#DIV/0!,0.010752688,#DIV/0!
Het Hogeland,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.37745573,0.021276596,#DIV/0!,#DIV/0!,0.798534799,0.510416667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.560723514,0.187347932,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,0.602150538,#DIV/0!
